Landsat Product Identifier L2,Date Acquired,Scene Cloud Cover L1,Scene Center Latitude,Scene Center Longitude
LC09_L2SP_201035_20230721_20230802_02_T1,2023/07/21,32.2,36.04318,-5.11088
LC08_L2SP_201035_20230729_20230805_02_T1,2023/07/29,0.1,36.0431,-5.10612
LC09_L2SP_201035_20230806_20230808_02_T1,2023/08/06,0.42,36.04333,-5.11627
LC08_L2SP_201035_20230814_20230819_02_T1,2023/08/14,10.59,36.0433,-5.10184
LC09_L2SP_201035_20230822_20230824_02_T1,2023/08/22,10.52,36.0434,-5.10747
LC08_L2SP_201035_20230830_20230906_02_T1,2023/08/30,1.11,36.04319,-5.10328
LC09_L2SP_201035_20230907_20230913_02_T1,2023/09/07,35.54,36.04339,-5.12552
LC08_L2SP_201035_20230915_20230925_02_T1,2023/09/15,37.74,36.04331,-5.101
LC09_L2SP_201035_20230923_20230925_02_T1,2023/09/23,0.31,36.04319,-5.11192
LC08_L2SP_201035_20231001_20231011_02_T1,2023/10/01,2.34,36.04301,-5.10601
LC09_L2SP_201035_20231009_20231010_02_T1,2023/10/09,9.83,36.04336,-5.11949
LC08_L2SP_201035_20231017_20231103_02_T1,2023/10/17,20.34,36.04334,-5.10497
LC09_L2SP_201035_20231025_20231026_02_T1,2023/10/25,58.31,36.04337,-5.12704
LC08_L2SP_201035_20231102_20231109_02_T1,2023/11/02,52.44,36.04324,-5.1168
LC09_L2SP_201035_20231110_20231111_02_T1,2023/11/10,7.88,36.0435,-5.10524
LC08_L2SP_201035_20231118_20231122_02_T1,2023/11/18,21.16,36.04345,-5.11977
LC09_L2SP_201035_20231126_20231128_02_T1,2023/11/26,1.35,36.04338,-5.13232
LC08_L2SP_201035_20231204_20231209_02_T1,2023/12/04,99.61,36.04324,-5.10087
LC09_L2SP_201035_20231212_20231213_02_T1,2023/12/12,16.83,36.04303,-5.12288
LC08_L2SP_201035_20231220_20240103_02_T1,2023/12/20,20.98,36.04327,-5.12746
LC09_L2SP_201035_20231228_20231229_02_T1,2023/12/28,73.43,36.04321,-5.13554
LC08_L2SP_201035_20240105_20240113_02_T1,2024/01/05,21.8,36.04314,-5.09921
